"contig" "numOutSnps" "numTotSnps" "prop" "TempGroup" "PrecipGroup" "BothTempPrecip" "SpruceOrthoOut" "NumTempOut" "NumPrecipOut"
"comp2237_c0_seq1" 11 44 0.25 FALSE TRUE FALSE FALSE 0 9
"comp23254_c0_seq1" 6 20 0.3 FALSE FALSE FALSE FALSE 0 0
"comp24588_c0_seq1" 5 22 0.227272727272727 FALSE TRUE FALSE FALSE 0 5
"comp25728_c1_seq1" 5 21 0.238095238095238 FALSE TRUE FALSE FALSE 0 4
"comp26296_c0_seq1" 3 13 0.230769230769231 FALSE TRUE FALSE FALSE 0 3
"comp26901_c0_seq1" 1 27 0.037037037037037 FALSE FALSE FALSE FALSE 0 0
"comp27340_c0_seq1" 1 18 0.0555555555555556 FALSE FALSE FALSE FALSE 0 0
"comp2741_c0_seq1" 1 23 0.0434782608695652 FALSE FALSE FALSE FALSE 0 0
"comp27756_c0_seq1" 1 88 0.0113636363636364 FALSE FALSE FALSE FALSE 0 0
"comp28687_c0_seq1" 1 12 0.0833333333333333 TRUE FALSE FALSE FALSE 1 0
"comp29496_c0_seq1" 4 20 0.2 TRUE TRUE TRUE FALSE 1 2
"comp3033_c0_seq1" 1 25 0.04 FALSE FALSE FALSE FALSE 0 0
"comp30586_c0_seq1" 1 33 0.0303030303030303 FALSE FALSE FALSE FALSE 0 0
"comp3065_c0_seq1" 1 49 0.0204081632653061 FALSE FALSE FALSE TRUE 0 0
"comp31135_c0_seq1" 1 27 0.037037037037037 TRUE FALSE FALSE FALSE 1 0
"comp31759_c0_seq1" 1 48 0.0208333333333333 FALSE FALSE FALSE FALSE 0 0
"comp3285_c0_seq1" 3 31 0.0967741935483871 FALSE TRUE FALSE FALSE 0 3
"comp332_c0_seq1" 1 116 0.00862068965517241 FALSE FALSE FALSE FALSE 0 0
"comp3324_c0_seq1" 1 61 0.0163934426229508 FALSE FALSE FALSE FALSE 0 0
"comp33268_c0_seq1" 1 23 0.0434782608695652 FALSE TRUE FALSE FALSE 0 1
"comp33846_c0_seq1" 15 24 0.625 FALSE TRUE FALSE FALSE 0 1
"comp3516_c0_seq1" 1 37 0.027027027027027 FALSE TRUE FALSE FALSE 0 1
"comp3733_c0_seq1" 1 85 0.0117647058823529 FALSE FALSE FALSE FALSE 0 0
"comp37445_c0_seq1" 1 29 0.0344827586206897 FALSE FALSE FALSE FALSE 0 0
"comp3879_c0_seq1" 1 56 0.0178571428571429 FALSE FALSE FALSE TRUE 0 0
"comp4147_c0_seq1" 8 70 0.114285714285714 FALSE TRUE FALSE FALSE 0 7
"comp426_c0_seq1" 2 34 0.0588235294117647 FALSE FALSE FALSE FALSE 0 0
"comp4328_c0_seq1" 1 40 0.025 FALSE FALSE FALSE FALSE 0 0
"comp45093_c0_seq1" 1 82 0.0121951219512195 FALSE FALSE FALSE FALSE 0 0
"comp4611_c0_seq1" 1 44 0.0227272727272727 TRUE TRUE TRUE TRUE 1 1
"comp4626_c0_seq1" 1 25 0.04 FALSE FALSE FALSE FALSE 0 0
"comp4835_c0_seq1" 8 49 0.163265306122449 FALSE TRUE FALSE FALSE 0 5
"comp4836_c0_seq1" 1 37 0.027027027027027 FALSE FALSE FALSE FALSE 0 0
"comp50550_c0_seq1" 1 140 0.00714285714285714 FALSE FALSE FALSE FALSE 0 0
"comp50758_c0_seq1" 3 31 0.0967741935483871 FALSE FALSE FALSE FALSE 0 0
"comp51036_c0_seq1" 1 36 0.0277777777777778 FALSE TRUE FALSE FALSE 0 1
"comp54619_c0_seq1" 1 47 0.0212765957446809 FALSE FALSE FALSE FALSE 0 0
"comp563_c0_seq1" 1 44 0.0227272727272727 FALSE FALSE FALSE FALSE 0 0
"comp5739_c0_seq1" 1 49 0.0204081632653061 FALSE FALSE FALSE FALSE 0 0
"comp5776_c0_seq1" 3 27 0.111111111111111 FALSE FALSE FALSE FALSE 0 0
"comp60064_c0_seq1" 46 75 0.613333333333333 TRUE TRUE TRUE FALSE 46 1
"comp6201_c0_seq1" 1 24 0.0416666666666667 FALSE FALSE FALSE FALSE 0 0
"comp6268_c0_seq1" 3 10 0.3 FALSE TRUE FALSE FALSE 0 3
"comp6329_c0_seq1" 8 18 0.444444444444444 FALSE TRUE FALSE FALSE 0 7
"comp6384_c1_seq1" 2 29 0.0689655172413793 FALSE FALSE FALSE FALSE 0 0
"comp6405_c0_seq1" 1 13 0.0769230769230769 FALSE FALSE FALSE FALSE 0 0
"comp64053_c0_seq1" 5 36 0.138888888888889 FALSE TRUE FALSE FALSE 0 5
"comp6497_c0_seq1" 1 33 0.0303030303030303 FALSE FALSE FALSE FALSE 0 0
"comp67337_c0_seq1" 1 46 0.0217391304347826 FALSE FALSE FALSE FALSE 0 0
"comp6762_c0_seq1" 7 46 0.152173913043478 TRUE TRUE TRUE FALSE 1 7
"comp67944_c0_seq1" 1 13 0.0769230769230769 FALSE FALSE FALSE FALSE 0 0
"comp6935_c0_seq1" 1 58 0.0172413793103448 FALSE FALSE FALSE FALSE 0 0
"comp7067_c0_seq1" 2 30 0.0666666666666667 FALSE TRUE FALSE FALSE 0 2
"comp71320_c0_seq1" 1 36 0.0277777777777778 FALSE FALSE FALSE FALSE 0 0
"comp7287_c0_seq1" 1 27 0.037037037037037 FALSE FALSE FALSE FALSE 0 0
"comp730_c0_seq1" 1 30 0.0333333333333333 FALSE TRUE FALSE FALSE 0 1
"comp73926_c0_seq1" 13 14 0.928571428571429 TRUE FALSE FALSE FALSE 13 0
"comp7699_c0_seq1" 1 66 0.0151515151515152 FALSE FALSE FALSE FALSE 0 0
"comp8064_c0_seq1" 2 27 0.0740740740740741 FALSE TRUE FALSE FALSE 0 2
"comp815_c0_seq1" 1 32 0.03125 FALSE FALSE FALSE FALSE 0 0
"comp8237_c0_seq1" 5 43 0.116279069767442 TRUE FALSE FALSE TRUE 2 0
"comp8905_c0_seq1" 1 152 0.00657894736842105 FALSE FALSE FALSE FALSE 0 0
"comp90150_c0_seq1" 2 27 0.0740740740740741 FALSE TRUE FALSE FALSE 0 1
"comp93351_c0_seq1" 2 43 0.0465116279069767 FALSE TRUE FALSE FALSE 0 1
"comp9377_c0_seq1" 1 15 0.0666666666666667 FALSE FALSE FALSE FALSE 0 0
"comp9415_c0_seq1" 3 33 0.0909090909090909 FALSE FALSE FALSE FALSE 0 0
"comp9553_c0_seq1" 9 68 0.132352941176471 FALSE TRUE FALSE FALSE 0 8
"comp9655_c0_seq1" 1 33 0.0303030303030303 FALSE FALSE FALSE FALSE 0 0
"comp9706_c0_seq1" 3 24 0.125 FALSE TRUE FALSE FALSE 0 2
